Nome_Produto,Categoria_Produto,Total_Produtos_Vendidos,Total_Categoria_Vendida,Lucro_Total,Status_Alerta
"Lâmpada 956","Casa e Jardim",1809,149160,-175128.67,"Alerta: Preço Base Muito Maior"
"Cadeira 924",Móveis,1805,142063,-509415.6,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 622",Brinquedos,1796,157064,-578477.66,"Alerta: Preço Base Muito Maior"
"Arroz 164",Alimentos,1793,135868,-282869.04,"Alerta: Preço Base Muito Maior"
"Notebook 257",Eletrônicos,1779,134599,-223973.37,"Alerta: Preço Base Muito Maior"
"Jaqueta 609",Roupas,1776,158263,-370468.35,"Alerta: Preço Base Muito Maior"
"Carrinho 302",Brinquedos,1769,157064,-258676.07,"Alerta: Preço Base Muito Maior"
"Carne 290",Alimentos,1768,135868,118819.72,"Alerta: Preço Base Muito Maior"
"Maquiagem 621",Beleza,1752,148734,-426100.69,"Alerta: Preço Base Muito Maior"
"Mesa 556",Móveis,1749,142063,-331140.03,"Alerta: Preço Base Muito Maior"
"Arroz 810",Alimentos,1742,135868,-35735.29,"Alerta: Preço Base Muito Maior"
"Bicicleta 263",Brinquedos,1734,157064,80397.84,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 374",Móveis,1731,142063,-322313.19,"Alerta: Preço Base Muito Maior"
"Biografia 509",Livros,1729,190052,-29968.73,"Alerta: Preço Base Muito Maior"
"Sapato 381",Roupas,1729,158263,-137852.5,"Alerta: Preço Base Muito Maior"
"Ficção Científica 474",Livros,1723,190052,-487062.86,"Alerta: Preço Base Muito Maior"
"Ficção Científica 656",Livros,1723,190052,10014,"Alerta: Preço Base Muito Maior"
"Vaso de planta 502","Casa e Jardim",1722,149160,-182564.93,"Alerta: Preço Base Muito Maior"
"Arroz 552",Alimentos,1719,135868,132163.79,"Alerta: Preço Base Muito Maior"
"Furadeira 370",Ferramentas,1719,133253,-293230.87,"Alerta: Preço Base Muito Maior"
"Smartphone 663",Eletrônicos,1719,134599,-392170.79,"Alerta: Preço Base Muito Maior"
"Cortina 262","Casa e Jardim",1717,149160,23275.93,"Alerta: Preço Base Muito Maior"
"Smartphone 690",Eletrônicos,1709,134599,72826.87,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 713","Casa e Jardim",1704,149160,18892.5,"Alerta: Preço Base Muito Maior"
"Frango 773",Alimentos,1704,135868,-325498.79,"Alerta: Preço Base Muito Maior"
"Tapete 534","Casa e Jardim",1703,149160,-249982.71,"Alerta: Preço Base Muito Maior"
"Vestido 785",Roupas,1698,158263,-285478.36,"Alerta: Preço Base Muito Maior"
"Smartphone 816",Eletrônicos,1697,134599,-491743.64,"Alerta: Preço Base Muito Maior"
"Skate 924",Esportes,1697,144928,-381366.53,"Alerta: Preço Base Muito Maior"
"História 644",Livros,1697,190052,-523137.5,"Alerta: Preço Base Muito Maior"
"Lâmpada 920","Casa e Jardim",1692,149160,-79036.92,"Alerta: Preço Base Muito Maior"
"Smartphone 289",Eletrônicos,1691,134599,-447050.6,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 506","Casa e Jardim",1691,149160,-294204.16,"Alerta: Preço Base Muito Maior"
"Tapete 217","Casa e Jardim",1690,149160,-204483.8,"Alerta: Preço Base Muito Maior"
"Cadeira 974",Móveis,1689,142063,-256688.24,"Alerta: Preço Base Muito Maior"
"Chave de fenda 453",Ferramentas,1688,133253,-437815.24,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 892","Casa e Jardim",1688,149160,-424417.31,"Alerta: Preço Base Muito Maior"
"Carrinho 176",Brinquedos,1687,157064,-130750.37,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 927",Eletrônicos,1686,134599,-171618.32,"Alerta: Preço Base Muito Maior"
"Carrinho 844",Brinquedos,1686,157064,-571073.74,"Alerta: Preço Base Muito Maior"
"Bola de futebol 107",Esportes,1683,144928,-501664.33,"Alerta: Preço Base Muito Maior"
"Boneca 736",Brinquedos,1681,157064,-367146.39,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 915",Esportes,1681,144928,-359171.46,"Alerta: Preço Base Muito Maior"
"Martelo 364",Ferramentas,1681,133253,-264831.39,"Alerta: Preço Base Muito Maior"
"Camiseta 723",Roupas,1680,158263,-106925.92,"Alerta: Preço Base Muito Maior"
"Sapato 198",Roupas,1680,158263,-349481.51,"Alerta: Preço Base Muito Maior"
"Sofá 995",Móveis,1679,142063,-343779.02,"Alerta: Preço Base Muito Maior"
"Martelo 245",Ferramentas,1678,133253,-120221.28,"Alerta: Preço Base Muito Maior"
"Ficção Científica 930",Livros,1678,190052,142333.33,"Alerta: Preço Base Muito Maior"
"Bicicleta 309",Brinquedos,1678,157064,-351642.19,"Alerta: Preço Base Muito Maior"
"Romance 115",Livros,1671,190052,-612359.59,"Alerta: Preço Base Muito Maior"
"Bola de futebol 538",Esportes,1670,144928,-56276.8,"Alerta: Preço Base Muito Maior"
"Cama 523",Móveis,1670,142063,-537316.3,"Alerta: Preço Base Muito Maior"
"Boneca 906",Brinquedos,1668,157064,-561720.6,"Alerta: Preço Base Muito Maior"
"Camiseta 833",Roupas,1665,158263,142255.97,"Alerta: Preço Base Muito Maior"
"Biografia 413",Livros,1664,190052,-338214.1,"Alerta: Preço Base Muito Maior"
"Martelo 243",Ferramentas,1660,133253,125965.76,"Alerta: Preço Base Muito Maior"
"Bola 332",Brinquedos,1659,157064,-567562.03,"Alerta: Preço Base Muito Maior"
"Jaqueta 478",Roupas,1659,158263,11144.28,"Alerta: Preço Base Muito Maior"
"Creme hidratante 829",Beleza,1658,148734,-318602.36,"Alerta: Preço Base Muito Maior"
"Arroz 936",Alimentos,1656,135868,23498.26,"Alerta: Preço Base Muito Maior"
"Ficção Científica 537",Livros,1656,190052,-121775.33,"Alerta: Preço Base Muito Maior"
"Shampoo 891",Beleza,1656,148734,-548856.89,"Alerta: Preço Base Muito Maior"
"Biografia 682",Livros,1654,190052,-64881.52,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 655",Esportes,1653,144928,-416025.72,"Alerta: Preço Base Muito Maior"
"Perfume 255",Beleza,1652,148734,-620920.7,"Alerta: Preço Base Muito Maior"
"Skate 365",Esportes,1652,144928,-174012.96,"Alerta: Preço Base Muito Maior"
"Ficção Científica 764",Livros,1651,190052,-522263.08,"Alerta: Preço Base Muito Maior"
"Sapato 296",Roupas,1647,158263,-22749.32,"Alerta: Preço Base Muito Maior"
"Sapato 929",Roupas,1647,158263,-220489.04,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 871",Esportes,1646,144928,-249173.67,"Alerta: Preço Base Muito Maior"
"Furadeira 106",Ferramentas,1645,133253,-30780.66,"Alerta: Preço Base Muito Maior"
"Cadeira 812",Móveis,1644,142063,-586428.89,"Alerta: Preço Base Muito Maior"
"Carne 213",Alimentos,1643,135868,149399.51,"Alerta: Preço Base Muito Maior"
"Sofá 488",Móveis,1641,142063,67484.13,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 271",Móveis,1641,142063,-404925.97,"Alerta: Preço Base Muito Maior"
"Camiseta 536",Roupas,1640,158263,-141755.25,"Alerta: Preço Base Muito Maior"
"Fone de ouvido 531",Eletrônicos,1640,134599,-25297.84,"Alerta: Preço Base Muito Maior"
"Condicionador 444",Beleza,1640,148734,-569208.44,"Alerta: Preço Base Muito Maior"
"Camiseta 373",Roupas,1639,158263,-598276.13,"Alerta: Preço Base Muito Maior"
"Mesa 972",Móveis,1638,142063,-182686.55,"Alerta: Preço Base Muito Maior"
"Cortina 914","Casa e Jardim",1638,149160,-113875.41,"Alerta: Preço Base Muito Maior"
"Maquiagem 277",Beleza,1638,148734,-422221,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 928",Móveis,1638,142063,-487443.32,"Alerta: Preço Base Muito Maior"
"Frango 462",Alimentos,1636,135868,-125140.3,"Alerta: Preço Base Muito Maior"
"Mesa 704",Móveis,1635,142063,-199296.63,"Alerta: Preço Base Muito Maior"
"Romance 473",Livros,1635,190052,-485652.02,"Alerta: Preço Base Muito Maior"
"Camisa de time 679",Esportes,1633,144928,-542538.45,"Alerta: Preço Base Muito Maior"
"Maquiagem 349",Beleza,1632,148734,22049.99,"Alerta: Preço Base Muito Maior"
"Carrinho 928",Brinquedos,1630,157064,-496363.01,"Alerta: Preço Base Muito Maior"
"Alicate 263",Ferramentas,1629,133253,-403581.63,"Alerta: Preço Base Muito Maior"
"Cadeira 794",Móveis,1628,142063,-606942.21,"Alerta: Preço Base Muito Maior"
"Biografia 889",Livros,1628,190052,-537542.71,"Alerta: Preço Base Muito Maior"
"Jaqueta 286",Roupas,1627,158263,-532149.92,"Alerta: Preço Base Muito Maior"
"Vestido 352",Roupas,1627,158263,-227045.69,"Alerta: Preço Base Muito Maior"
"Ficção Científica 232",Livros,1627,190052,-266312.4,"Alerta: Preço Base Muito Maior"
"Vestido 730",Roupas,1627,158263,-400446.43,"Alerta: Preço Base Muito Maior"
"Perfume 619",Beleza,1626,148734,-117554.54,"Alerta: Preço Base Muito Maior"
"Maquiagem 831",Beleza,1626,148734,-530024.65,"Alerta: Preço Base Muito Maior"
"Martelo 155",Ferramentas,1625,133253,-121987.45,"Alerta: Preço Base Muito Maior"
"Creme hidratante 151",Beleza,1623,148734,30445.17,"Alerta: Preço Base Muito Maior"
"Biografia 962",Livros,1622,190052,-67029.58,"Alerta: Preço Base Muito Maior"
"Ficção Científica 447",Livros,1621,190052,124218.86,"Alerta: Preço Base Muito Maior"
"Camiseta 526",Roupas,1621,158263,-382727.91,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 466",Esportes,1620,144928,-532311.83,"Alerta: Preço Base Muito Maior"
"Ficção Científica 625",Livros,1620,190052,150982.62,"Alerta: Preço Base Muito Maior"
"Romance 974",Livros,1620,190052,-410928.04,"Alerta: Preço Base Muito Maior"
"Infantil 542",Livros,1619,190052,-424262.85,"Alerta: Preço Base Muito Maior"
"Bicicleta 186",Brinquedos,1619,157064,101422.04,"Alerta: Preço Base Muito Maior"
"Perfume 617",Beleza,1618,148734,-385839.52,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 235",Móveis,1616,142063,-154470.31,"Alerta: Preço Base Muito Maior"
"Creme hidratante 340",Beleza,1616,148734,128633.83,"Alerta: Preço Base Muito Maior"
"Cama 434",Móveis,1616,142063,-413314.34,"Alerta: Preço Base Muito Maior"
"Shampoo 942",Beleza,1615,148734,-373094.53,"Alerta: Preço Base Muito Maior"
"Biografia 448",Livros,1614,190052,-186585.2,"Alerta: Preço Base Muito Maior"
"Chave de fenda 808",Ferramentas,1613,133253,-296319.01,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 953",Esportes,1611,144928,-36624.57,"Alerta: Preço Base Muito Maior"
"Alicate 695",Ferramentas,1611,133253,-391146.84,"Alerta: Preço Base Muito Maior"
"Chave de fenda 719",Ferramentas,1611,133253,-17393.65,"Alerta: Preço Base Muito Maior"
"Vaso de planta 937","Casa e Jardim",1610,149160,-375576.22,"Alerta: Preço Base Muito Maior"
"Maquiagem 105",Beleza,1610,148734,-98944.43,"Alerta: Preço Base Muito Maior"
"TV 536",Eletrônicos,1609,134599,-206979.22,"Alerta: Preço Base Muito Maior"
"Camiseta 488",Roupas,1609,158263,-527166.12,"Alerta: Preço Base Muito Maior"
"TV 282",Eletrônicos,1609,134599,-127082.56,"Alerta: Preço Base Muito Maior"
"Cadeira 711",Móveis,1608,142063,-190777.97,"Alerta: Preço Base Muito Maior"
"TV 873",Eletrônicos,1608,134599,-631004.77,"Alerta: Preço Base Muito Maior"
"Skate 654",Esportes,1607,144928,-328417.3,"Alerta: Preço Base Muito Maior"
"Perfume 518",Beleza,1607,148734,-107591.19,"Alerta: Preço Base Muito Maior"
"Infantil 725",Livros,1606,190052,-55893.9,"Alerta: Preço Base Muito Maior"
"Ficção Científica 516",Livros,1605,190052,86087.19,"Alerta: Preço Base Muito Maior"
"Creme hidratante 497",Beleza,1605,148734,-395453.13,"Alerta: Preço Base Muito Maior"
"Alicate 832",Ferramentas,1604,133253,-66680.14,"Alerta: Preço Base Muito Maior"
"Calça 531",Roupas,1603,158263,-441327.15,"Alerta: Preço Base Muito Maior"
"Chave de fenda 232",Ferramentas,1603,133253,-610592.68,"Alerta: Preço Base Muito Maior"
"Ficção Científica 331",Livros,1603,190052,-120816.57,"Alerta: Preço Base Muito Maior"
"Creme hidratante 624",Beleza,1603,148734,66304.99,"Alerta: Preço Base Muito Maior"
"TV 713",Eletrônicos,1602,134599,43336.81,"Alerta: Preço Base Muito Maior"
"Serra 518",Ferramentas,1601,133253,-487259.67,"Alerta: Preço Base Muito Maior"
"Furadeira 990",Ferramentas,1601,133253,131737.44,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 185",Brinquedos,1601,157064,-365663.79,"Alerta: Preço Base Muito Maior"
"Alicate 797",Ferramentas,1600,133253,-510503.85,"Alerta: Preço Base Muito Maior"
"Cortina 948","Casa e Jardim",1600,149160,-546368.37,"Alerta: Preço Base Muito Maior"
"Bicicleta 184",Brinquedos,1600,157064,-509777.67,"Alerta: Preço Base Muito Maior"
"TV 438",Eletrônicos,1600,134599,-562681.01,"Alerta: Preço Base Muito Maior"
"Camisa de time 578",Esportes,1600,144928,88062,"Alerta: Preço Base Muito Maior"
"Vaso de planta 376","Casa e Jardim",1599,149160,-59181.86,"Alerta: Preço Base Muito Maior"
"Mesa 906",Móveis,1599,142063,-529727.01,"Alerta: Preço Base Muito Maior"
"História 571",Livros,1597,190052,-514903.21,"Alerta: Preço Base Muito Maior"
"Chave de fenda 188",Ferramentas,1597,133253,-389072.33,"Alerta: Preço Base Muito Maior"
"Bicicleta 566",Brinquedos,1597,157064,-351366.63,"Alerta: Preço Base Muito Maior"
"Bicicleta 670",Brinquedos,1597,157064,-154826.27,"Alerta: Preço Base Muito Maior"
"Shampoo 921",Beleza,1596,148734,-386332.24,"Alerta: Preço Base Muito Maior"
"Tênis de corrida 227",Esportes,1596,144928,-481787.55,"Alerta: Preço Base Muito Maior"
"Feijão 434",Alimentos,1595,135868,-220885.55,"Alerta: Preço Base Muito Maior"
"Feijão 433",Alimentos,1594,135868,-268578.19,"Alerta: Preço Base Muito Maior"
"Maquiagem 184",Beleza,1594,148734,-91362.7,"Alerta: Preço Base Muito Maior"
"Lâmpada 692","Casa e Jardim",1594,149160,85165.01,"Alerta: Preço Base Muito Maior"
"Perfume 303",Beleza,1594,148734,-79800.81,"Alerta: Preço Base Muito Maior"
"Jaqueta 160",Roupas,1594,158263,-432425.55,"Alerta: Preço Base Muito Maior"
"Skate 116",Esportes,1594,144928,-527665.03,"Alerta: Preço Base Muito Maior"
"Biografia 645",Livros,1593,190052,-110726.27,"Alerta: Preço Base Muito Maior"
"Jaqueta 754",Roupas,1593,158263,80900.6,"Alerta: Preço Base Muito Maior"
"Camiseta 554",Roupas,1593,158263,128831.08,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 999","Casa e Jardim",1593,149160,-537274.88,"Alerta: Preço Base Muito Maior"
"Sapato 478",Roupas,1593,158263,-135164.86,"Alerta: Preço Base Muito Maior"
"Jogo de ferramentas 659","Casa e Jardim",1593,149160,-435479.12,"Alerta: Preço Base Muito Maior"
"Chave de fenda 531",Ferramentas,1591,133253,-21163.74,"Alerta: Preço Base Muito Maior"
"História 488",Livros,1591,190052,-69979.86,"Alerta: Preço Base Muito Maior"
"Romance 682",Livros,1591,190052,-271135.95,"Alerta: Preço Base Muito Maior"
"Ficção Científica 975",Livros,1591,190052,-57697.98,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 298",Brinquedos,1590,157064,-406698.52,"Alerta: Preço Base Muito Maior"
"Perfume 779",Beleza,1589,148734,76992.21,"Alerta: Preço Base Muito Maior"
"Macarrão 760",Alimentos,1589,135868,-108449.36,"Alerta: Preço Base Muito Maior"
"Lâmpada 581","Casa e Jardim",1589,149160,133126.04,"Alerta: Preço Base Muito Maior"
"Sofá 392",Móveis,1588,142063,-308903.62,"Alerta: Preço Base Muito Maior"
"Bola de futebol 141",Esportes,1588,144928,-253924.31,"Alerta: Preço Base Muito Maior"
"Furadeira 442",Ferramentas,1587,133253,139481.3,"Alerta: Preço Base Muito Maior"
"História 369",Livros,1587,190052,-485447.84,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 243",Brinquedos,1587,157064,-154228.25,"Alerta: Preço Base Muito Maior"
"Cortina 895","Casa e Jardim",1587,149160,-215754.62,"Alerta: Preço Base Muito Maior"
"Jaqueta 723",Roupas,1587,158263,-417474.59,"Alerta: Preço Base Muito Maior"
"Feijão 855",Alimentos,1586,135868,-438089.27,"Alerta: Preço Base Muito Maior"
"Tapete 220","Casa e Jardim",1586,149160,-584560.26,"Alerta: Preço Base Muito Maior"
"Vestido 780",Roupas,1586,158263,-198714.21,"Alerta: Preço Base Muito Maior"
"Bicicleta 165",Brinquedos,1585,157064,-293419.43,"Alerta: Preço Base Muito Maior"
"Notebook 333",Eletrônicos,1585,134599,-123542.51,"Alerta: Preço Base Muito Maior"
"Martelo 988",Ferramentas,1585,133253,100764.92,"Alerta: Preço Base Muito Maior"
"TV 952",Eletrônicos,1584,134599,-71813.15,"Alerta: Preço Base Muito Maior"
"Infantil 698",Livros,1584,190052,-323194.63,"Alerta: Preço Base Muito Maior"
"Creme hidratante 310",Beleza,1583,148734,-116613.51,"Alerta: Preço Base Muito Maior"
"Infantil 337",Livros,1582,190052,-132167.12,"Alerta: Preço Base Muito Maior"
"Carrinho 771",Brinquedos,1582,157064,-442731.67,"Alerta: Preço Base Muito Maior"
"Perfume 805",Beleza,1582,148734,-254693.03,"Alerta: Preço Base Muito Maior"
"Bola de futebol 102",Esportes,1581,144928,57359.27,"Alerta: Preço Base Muito Maior"
"Mesa 513",Móveis,1581,142063,-388620.39,"Alerta: Preço Base Muito Maior"
"Infantil 425",Livros,1581,190052,-163144.76,"Alerta: Preço Base Muito Maior"
"Lâmpada 687","Casa e Jardim",1581,149160,37786.32,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 691",Móveis,1580,142063,-140811.4,"Alerta: Preço Base Muito Maior"
"Romance 467",Livros,1580,190052,590.05,"Alerta: Preço Base Muito Maior"
"Bicicleta 827",Brinquedos,1580,157064,-207186.93,"Alerta: Preço Base Muito Maior"
"Sofá 825",Móveis,1579,142063,34623.56,"Alerta: Preço Base Muito Maior"
"Perfume 184",Beleza,1579,148734,-612958.81,"Alerta: Preço Base Muito Maior"
"Lâmpada 306","Casa e Jardim",1579,149160,-164021.28,"Alerta: Preço Base Muito Maior"
"TV 510",Eletrônicos,1579,134599,-122587.82,"Alerta: Preço Base Muito Maior"
"Perfume 483",Beleza,1578,148734,124902.33,"Alerta: Preço Base Muito Maior"
"Perfume 697",Beleza,1578,148734,-107918.02,"Alerta: Preço Base Muito Maior"
"Creme hidratante 715",Beleza,1577,148734,-208034.93,"Alerta: Preço Base Muito Maior"
"TV 893",Eletrônicos,1576,134599,-158165.08,"Alerta: Preço Base Muito Maior"
"Tapete 535","Casa e Jardim",1576,149160,-145229.14,"Alerta: Preço Base Muito Maior"
"Camiseta 190",Roupas,1575,158263,-568566.45,"Alerta: Preço Base Muito Maior"
"Chave de fenda 121",Ferramentas,1575,133253,-187291.4,"Alerta: Preço Base Muito Maior"
"Jaqueta 674",Roupas,1575,158263,-332317.05,"Alerta: Preço Base Muito Maior"
"Frango 480",Alimentos,1574,135868,-512182.27,"Alerta: Preço Base Muito Maior"
"Bola 835",Brinquedos,1574,157064,-224911,"Alerta: Preço Base Muito Maior"
"Jaqueta 483",Roupas,1574,158263,-437397.62,"Alerta: Preço Base Muito Maior"
"Smartphone 500",Eletrônicos,1574,134599,-309825.13,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 513",Móveis,1574,142063,-595222.82,"Alerta: Preço Base Muito Maior"
"Calça 662",Roupas,1573,158263,-172357.44,"Alerta: Preço Base Muito Maior"
"Carrinho 661",Brinquedos,1572,157064,119631.7,"Alerta: Preço Base Muito Maior"
"Serra 184",Ferramentas,1572,133253,-365309.84,"Alerta: Preço Base Muito Maior"
"TV 447",Eletrônicos,1571,134599,-326562.01,"Alerta: Preço Base Muito Maior"
"Biografia 396",Livros,1571,190052,35244.14,"Alerta: Preço Base Muito Maior"
"Jaqueta 732",Roupas,1571,158263,-22144.64,"Alerta: Preço Base Muito Maior"
"Raquete de tênis 225",Esportes,1571,144928,27573.77,"Alerta: Preço Base Muito Maior"
"Jaqueta 763",Roupas,1570,158263,-83147.92,"Alerta: Preço Base Muito Maior"
"Feijão 270",Alimentos,1570,135868,-208641.32,"Alerta: Preço Base Muito Maior"
"Serra 297",Ferramentas,1570,133253,-226236.1,"Alerta: Preço Base Muito Maior"
"Câmera 741",Eletrônicos,1569,134599,-4570.93,"Alerta: Preço Base Muito Maior"
"Cortina 452","Casa e Jardim",1568,149160,-318575.26,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 559",Brinquedos,1568,157064,-561472.13,"Alerta: Preço Base Muito Maior"
"Vestido 764",Roupas,1568,158263,-232478.3,"Alerta: Preço Base Muito Maior"
"Frango 770",Alimentos,1568,135868,-237356.57,"Alerta: Preço Base Muito Maior"
"Lâmpada 623","Casa e Jardim",1568,149160,-412616.55,"Alerta: Preço Base Muito Maior"
"Carne 946",Alimentos,1567,135868,-595419.48,"Alerta: Preço Base Muito Maior"
"Feijão 824",Alimentos,1567,135868,104908.61,"Alerta: Preço Base Muito Maior"
"Cortina 496","Casa e Jardim",1567,149160,-37300.71,"Alerta: Preço Base Muito Maior"
"Carne 160",Alimentos,1567,135868,-231346.75,"Alerta: Preço Base Muito Maior"
"Shampoo 673",Beleza,1567,148734,-486468.43,"Alerta: Preço Base Muito Maior"
"Shampoo 657",Beleza,1566,148734,-29261.24,"Alerta: Preço Base Muito Maior"
"Alicate 713",Ferramentas,1566,133253,-156644.57,"Alerta: Preço Base Muito Maior"
"Cama 339",Móveis,1566,142063,8135.38,"Alerta: Preço Base Muito Maior"
"Notebook 195",Eletrônicos,1565,134599,-550909.56,"Alerta: Preço Base Muito Maior"
"Cama 290",Móveis,1564,142063,-316691.25,"Alerta: Preço Base Muito Maior"
"Infantil 735",Livros,1564,190052,130231.97,"Alerta: Preço Base Muito Maior"
"Guarda-roupa 921",Móveis,1564,142063,-365980.79,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 800",Brinquedos,1563,157064,-265867.66,"Alerta: Preço Base Muito Maior"
"Jogo de tabuleiro 675",Brinquedos,1563,157064,-188170.31,"Alerta: Preço Base Muito Maior"
"Mesa 359",Móveis,1563,142063,-553348.47,"Alerta: Preço Base Muito Maior"
